,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,,,,,,,,,,,,
1,,,,"OFFICE PERFORMANCE COMMITMENT AND REVIEW (OPCR)
Field Opertaions Management Department",,,,,,,"RATING PERIOD:
JANUARY-DECEMBER 2025",,,,
2,,I. Signature approvals during the Performance Planning and Commitment Phase ,,,,,,,,,,,,,
3,,"I, RYAN JAMES V. AYSON, Manager, Field Operations Management Department, commit to deliver and agree to be rated on the attainment of the following targets in accordance with the indicated measures for the period JANUARY TO DECEMBER 2025.


RYAN JAMES V. AYSON
Manager, Field Operations Management Department",,"I hereby certify that the commitments stated herein was discussed with the ratee.



PATRICK JAMES B. DIZON
Acting Deputy Administrator, Engineering and Technical Operations Group",,"Discussed and agreed with the PMT.



JOSE ALFREDO B. ESCOTO, JR.
PMT Chairperson",,,,"Approved by:



LEONOR C. CLEOFAS, CESO IV
Administrator",,,,,
4,,MFOs AND PERFORMANCE INDICATORS,"DEPARTMENT
FY 2025 BUDGET",SUCCESS INDICATOR CY 2025 TARGETS ,RESPONSIBLE DIVISION/ INDIVIDUALS                              ,RATING,,,,"ACCOMPLISHMENT/UPDATE (Encircle one)
Annual 
Semestral -       S1    S2
Quarterly  -       Q1    Q2     Q3     Q4  ",,,,,
5,,,,,,Q1,E2,T3,Ave,,,,,,
6,,A.  Major Final Outputs (MFOs)/Operations,,,,,,,,,,,,,
7,,MFO1: Uninterrupted and Adequate Supply and Distribution of Potable Water for Domestic Use in its Service,,,,,,,,,,,,,
8,,Performance Indicator 1: Management of the operations of Bulacan Bulk Water Supply Project,,,,,,,,,,,,,
9,,1.1 Assistance in the Monitoring of commercial operations of Stage 1 & 2,,,AME,,,,,,,,,,
10,,1.1.1 Availability of supply (capacity) based on average Minimum Committed Volume (MCV),,"Meet or exceed the required present MCV
(192.93 MLD)",,,,,,,,,,,
11,,1.1.2 Annual Bulk Water Charge (BWC for 2025 due to the 2024 CPI Adjustment),,MWSS Board Approval within the third quarter of 2025,,,,,,,,,,,
12,,1.2 Review Evaluation and Approval to the MWSS BOT the 2024 Updated Business Plan,,MWSS BoT Approval at year-end,,,,,,,,,,,01-15-2024
